iters	problem_size	bucket_range	time_a	time_b	time_c	time_d	time_e
0	2000000	1600	0.009709s	0.035388s	0.065893s	0.001126s	0.112117s
1	2000000	1600	0.009684s	0.035418s	0.066923s	0.001060s	0.113086s
2	2000000	1600	0.009696s	0.035409s	0.066010s	0.001055s	0.112171s
3	2000000	1600	0.009715s	0.035316s	0.065996s	0.001108s	0.112136s
4	2000000	1600	0.009650s	0.035227s	0.065572s	0.001054s	0.111503s
5	2000000	1600	0.009703s	0.035272s	0.065606s	0.001079s	0.111660s
6	2000000	1600	0.009864s	0.035400s	0.066663s	0.001237s	0.113164s
7	2000000	1600	0.009713s	0.036112s	0.066013s	0.001066s	0.112903s
8	2000000	1600	0.010215s	0.035022s	0.065561s	0.001131s	0.111929s
9	2000000	1600	0.009649s	0.035376s	0.066449s	0.001075s	0.112548s
0	2000000	3200	0.009676s	0.033994s	0.071545s	0.001023s	0.116237s
1	2000000	3200	0.009794s	0.034413s	0.072294s	0.001197s	0.117698s
2	2000000	3200	0.010385s	0.036560s	0.072582s	0.001165s	0.120691s
3	2000000	3200	0.009637s	0.034025s	0.071727s	0.001073s	0.116462s
4	2000000	3200	0.010446s	0.035778s	0.086275s	0.001521s	0.134020s
5	2000000	3200	0.009757s	0.034287s	0.078825s	0.001100s	0.123969s
6	2000000	3200	0.011594s	0.036179s	0.075670s	0.001239s	0.124682s
7	2000000	3200	0.009653s	0.033679s	0.072498s	0.001055s	0.116884s
8	2000000	3200	0.009654s	0.033859s	0.071477s	0.001861s	0.116851s
9	2000000	3200	0.010453s	0.035369s	0.077128s	0.001071s	0.124022s
