iters	problem_size	bucket_range	time_a	time_b	time_c	time_d	time_e
0	50000000	64	0.270289s	9.387040s	1.660150s	0.066334s	11.383812s
1	50000000	64	0.403057s	9.872304s	1.091022s	0.046654s	11.413037s
2	50000000	64	0.280513s	9.607310s	1.066387s	0.036324s	10.990534s
3	50000000	64	0.290555s	9.403836s	1.054156s	0.034419s	10.782966s
4	50000000	64	0.283757s	8.332817s	1.046940s	0.035810s	9.699324s
0	50000000	128	0.272654s	6.473750s	1.213158s	0.034617s	7.994178s
1	50000000	128	0.263441s	6.305750s	1.258330s	0.033530s	7.861050s
2	50000000	128	0.282635s	7.023917s	1.235351s	0.033676s	8.575578s
3	50000000	128	0.270805s	6.163053s	1.231146s	0.033252s	7.698256s
4	50000000	128	0.269794s	6.330534s	1.207926s	0.033284s	7.841539s
0	50000000	256	0.275307s	3.966535s	1.408222s	0.032122s	5.682187s
1	50000000	256	0.254654s	4.070480s	1.400683s	0.033534s	5.759350s
2	50000000	256	0.276351s	5.391785s	1.391267s	0.033600s	7.093002s
3	50000000	256	0.267877s	4.308470s	1.396714s	0.032519s	6.005579s
4	50000000	256	0.279489s	4.086421s	1.419278s	0.032432s	5.817620s
0	50000000	512	0.247659s	2.697200s	1.625775s	0.031603s	4.602237s
1	50000000	512	0.268216s	2.779980s	1.585426s	0.033802s	4.667424s
2	50000000	512	0.304126s	2.820626s	1.554882s	0.032581s	4.712215s
3	50000000	512	0.289668s	2.494645s	1.535062s	0.031543s	4.350918s
4	50000000	512	0.267116s	2.549643s	1.563133s	0.031538s	4.411431s
0	50000000	1024	0.257328s	1.963466s	1.710066s	0.030029s	3.960889s
1	50000000	1024	0.259233s	2.043632s	1.715468s	0.029693s	4.048026s
2	50000000	1024	0.274915s	1.981204s	1.701600s	0.029476s	3.987194s
3	50000000	1024	0.256683s	1.991508s	1.722518s	0.030057s	4.000766s
4	50000000	1024	0.285886s	1.986791s	1.718233s	0.030771s	4.021681s
0	50000000	2048	0.265378s	1.722429s	1.893208s	0.027564s	3.908579s
1	50000000	2048	0.274208s	1.712643s	1.859278s	0.028391s	3.874520s
2	50000000	2048	0.280085s	1.790054s	1.862863s	0.027881s	3.960883s
3	50000000	2048	0.264565s	1.800706s	1.855249s	0.027814s	3.948333s
4	50000000	2048	0.262939s	1.757556s	1.871256s	0.028613s	3.920364s
0	50000000	4096	0.264293s	1.614428s	2.014188s	0.026394s	3.919304s
1	50000000	4096	0.277557s	1.626986s	1.987444s	0.027871s	3.919858s
2	50000000	4096	0.257480s	1.657465s	1.966691s	0.027487s	3.909123s
3	50000000	4096	0.261271s	1.636806s	2.001485s	0.026783s	3.926345s
4	50000000	4096	0.256909s	1.628230s	2.014962s	0.031172s	3.931274s
0	50000000	8196	0.316632s	1.508925s	2.149628s	0.025977s	4.001162s
1	50000000	8196	0.263861s	1.475753s	2.144598s	0.026109s	3.910321s
2	50000000	8196	0.284253s	1.613075s	2.124261s	0.026831s	4.048421s
3	50000000	8196	0.260172s	1.511754s	2.133759s	0.026091s	3.931776s
4	50000000	8196	0.258322s	1.507248s	2.161588s	0.025893s	3.953051s
0	50000000	20480	0.254891s	1.210139s	2.301917s	0.025755s	3.792703s
1	50000000	20480	0.255344s	1.247225s	2.298922s	0.025488s	3.826979s
2	50000000	20480	0.255031s	1.250604s	2.351862s	0.026410s	3.883908s
3	50000000	20480	0.257996s	1.233898s	2.759029s	0.026128s	4.277052s
4	50000000	20480	0.263959s	1.210337s	2.298023s	0.027792s	3.800110s
0	50000000	40960	0.272521s	0.938605s	2.453246s	0.025214s	3.689586s
1	50000000	40960	0.255144s	0.946270s	2.455907s	0.025537s	3.682858s
2	50000000	40960	0.271328s	0.944403s	2.466476s	0.025191s	3.707397s
3	50000000	40960	0.268258s	0.966960s	2.430895s	0.024912s	3.691025s
4	50000000	40960	0.266408s	0.982696s	2.455228s	0.025244s	3.729575s
0	50000000	81960	0.262220s	0.895208s	2.678906s	0.026499s	3.862832s
1	50000000	81960	0.260164s	0.928818s	2.640406s	0.025842s	3.855229s
2	50000000	81960	0.262830s	0.880121s	2.589462s	0.026157s	3.758570s
3	50000000	81960	0.264772s	0.932910s	2.627963s	0.026079s	3.851725s
4	50000000	81960	0.262954s	0.898613s	2.718501s	0.030030s	3.910098s
0	50000000	204800	0.264680s	0.899915s	2.853657s	0.025771s	4.044024s
1	50000000	204800	0.262449s	0.869516s	2.771809s	0.026269s	3.930044s
2	50000000	204800	0.264402s	0.866608s	2.808917s	0.026052s	3.965979s
3	50000000	204800	0.264055s	0.893250s	2.778889s	0.025309s	3.961502s
4	50000000	204800	0.265877s	0.875899s	2.777177s	0.024858s	3.943811s
0	50000000	409600	0.266194s	0.890829s	2.957052s	0.026697s	4.140772s
1	50000000	409600	0.303810s	1.017606s	3.075778s	0.025813s	4.423007s
2	50000000	409600	0.267365s	0.976707s	3.116119s	0.026105s	4.386296s
3	50000000	409600	0.271686s	0.912201s	2.970785s	0.024792s	4.179463s
4	50000000	409600	0.273575s	0.916732s	3.036793s	0.025383s	4.252483s
0	50000000	819600	0.263489s	0.901589s	3.082268s	0.024735s	4.272081s
1	50000000	819600	0.256503s	1.025678s	3.163062s	0.025775s	4.471018s
2	50000000	819600	0.267247s	0.905209s	3.148480s	0.025777s	4.346713s
3	50000000	819600	0.275616s	1.045270s	3.104909s	0.024915s	4.450710s
4	50000000	819600	0.266494s	0.879678s	3.143285s	0.026105s	4.315563s
