iters	problem_size	bucket_range	time_a	time_b	time_c	time_d	time_e
0	50000000	1639200	0.290229s	0.935304s	3.603060s	0.042026s	4.870619s
1	50000000	1639200	0.268144s	0.845040s	3.435572s	0.042867s	4.591623s
2	50000000	1639200	0.225633s	1.264898s	3.767735s	0.047904s	5.306170s
3	50000000	1639200	0.281264s	1.005350s	3.800904s	0.086322s	5.173840s
4	50000000	1639200	0.313167s	1.049678s	3.858735s	0.048662s	5.270242s
0	50000000	3278400	0.275077s	1.107142s	3.659599s	0.056386s	5.098204s
1	50000000	3278400	0.264746s	1.026067s	3.909306s	0.038688s	5.238808s
2	50000000	3278400	0.319451s	1.053886s	3.801517s	0.039491s	5.214344s
3	50000000	3278400	0.272532s	0.937613s	3.452373s	0.050307s	4.712824s
4	50000000	3278400	0.320252s	1.474234s	3.810698s	0.051431s	5.656615s
0	50000000	6556800	0.243082s	1.209641s	3.241148s	0.035321s	4.729193s
1	50000000	6556800	0.238351s	0.813803s	3.280004s	0.029238s	4.361396s
2	50000000	6556800	0.219444s	0.848256s	3.168727s	0.031196s	4.267624s
3	50000000	6556800	0.224515s	0.748534s	3.345835s	0.036654s	4.355538s
4	50000000	6556800	0.219203s	0.859032s	3.202060s	0.031137s	4.311433s
