iters	problem_size	bucket_range	time_a	time_b	time_c	time_d	time_e
0	20000000	64	0.080206s	2.360104s	0.333352s	0.015958s	2.789620s
1	20000000	64	0.088786s	2.242790s	0.334560s	0.018295s	2.684432s
2	20000000	64	0.082247s	2.206843s	0.331730s	0.015163s	2.635984s
3	20000000	64	0.082699s	2.240922s	0.334804s	0.014805s	2.673229s
4	20000000	64	0.080903s	2.222227s	0.332685s	0.014695s	2.650510s
0	20000000	128	0.085857s	1.474991s	0.389181s	0.014079s	1.964109s
1	20000000	128	0.082714s	1.510317s	0.389755s	0.014575s	1.997362s
2	20000000	128	0.083482s	1.425619s	0.394456s	0.014134s	1.917691s
3	20000000	128	0.082595s	1.505696s	0.386510s	0.014224s	1.989026s
4	20000000	128	0.081936s	1.522449s	0.388125s	0.015027s	2.007537s
0	20000000	256	0.081670s	0.964200s	0.447431s	0.013898s	1.507199s
1	20000000	256	0.082969s	1.051593s	0.440688s	0.015959s	1.591210s
2	20000000	256	0.082420s	0.906356s	0.440974s	0.013750s	1.443499s
3	20000000	256	0.084166s	0.875396s	0.469802s	0.021847s	1.451210s
4	20000000	256	0.083122s	0.820051s	0.457085s	0.014046s	1.374304s
0	20000000	512	0.082715s	0.683540s	0.495443s	0.013741s	1.275439s
1	20000000	512	0.081138s	0.622372s	0.493637s	0.013002s	1.210149s
2	20000000	512	0.082378s	0.786180s	0.498633s	0.013506s	1.380696s
3	20000000	512	0.081485s	0.692595s	0.490873s	0.013013s	1.277966s
4	20000000	512	0.083768s	0.703316s	0.489487s	0.012808s	1.289379s
0	20000000	1024	0.082279s	0.591455s	0.541227s	0.012663s	1.227624s
1	20000000	1024	0.083113s	0.751583s	0.561866s	0.013009s	1.409572s
2	20000000	1024	0.082122s	0.594422s	0.543709s	0.013379s	1.233633s
3	20000000	1024	0.081625s	0.596331s	0.542845s	0.014022s	1.234823s
4	20000000	1024	0.082685s	0.572336s	0.536750s	0.012642s	1.204413s
0	20000000	2048	0.082711s	0.506818s	0.588714s	0.016436s	1.194679s
1	20000000	2048	0.083174s	0.507887s	0.588813s	0.011268s	1.191141s
2	20000000	2048	0.080498s	0.515951s	0.603226s	0.012010s	1.211685s
3	20000000	2048	0.081260s	0.512204s	0.585724s	0.011796s	1.190984s
4	20000000	2048	0.083407s	0.495737s	0.589734s	0.012338s	1.181216s
0	20000000	4096	0.081379s	0.457604s	0.635502s	0.011085s	1.185569s
1	20000000	4096	0.081237s	0.468520s	0.635428s	0.011464s	1.196649s
2	20000000	4096	0.081586s	0.463969s	0.632657s	0.011901s	1.190114s
3	20000000	4096	0.082434s	0.466454s	0.639772s	0.015920s	1.204580s
4	20000000	4096	0.085204s	0.442497s	0.642726s	0.011115s	1.181543s
0	20000000	8196	0.082867s	0.382098s	0.694022s	0.010879s	1.169866s
1	20000000	8196	0.081281s	0.382824s	0.692902s	0.011329s	1.168337s
2	20000000	8196	0.082684s	0.382947s	0.689316s	0.011295s	1.166241s
3	20000000	8196	0.082598s	0.382790s	0.694603s	0.012545s	1.172535s
4	20000000	8196	0.083376s	0.385705s	0.690908s	0.012309s	1.172299s
0	20000000	20480	0.084023s	0.299858s	0.758191s	0.010816s	1.152889s
1	20000000	20480	0.082647s	0.296666s	0.766382s	0.010748s	1.156443s
2	20000000	20480	0.082854s	0.295942s	0.761545s	0.011482s	1.151823s
3	20000000	20480	0.081402s	0.305984s	0.762034s	0.011094s	1.160514s
4	20000000	20480	0.084039s	0.305703s	0.760152s	0.011206s	1.161100s
0	20000000	40960	0.082837s	0.285858s	0.807482s	0.011431s	1.187607s
1	20000000	40960	0.082114s	0.286502s	0.809627s	0.011059s	1.189302s
2	20000000	40960	0.082253s	0.288488s	0.817440s	0.011071s	1.199251s
3	20000000	40960	0.082683s	0.293411s	0.817003s	0.011152s	1.204250s
4	20000000	40960	0.081811s	0.290131s	0.810072s	0.011004s	1.193019s
0	20000000	81960	0.082973s	0.281282s	0.856001s	0.011311s	1.231567s
1	20000000	81960	0.082393s	0.282192s	0.851794s	0.010754s	1.227133s
2	20000000	81960	0.082130s	0.283516s	0.860760s	0.011443s	1.237850s
3	20000000	81960	0.081717s	0.285427s	0.852058s	0.011314s	1.230518s
4	20000000	81960	0.082818s	0.290717s	0.855582s	0.012370s	1.241486s
0	20000000	204800	0.081424s	0.292118s	0.925369s	0.010580s	1.309491s
1	20000000	204800	0.082888s	0.293653s	0.924361s	0.011829s	1.312731s
2	20000000	204800	0.098465s	0.290423s	0.925230s	0.017215s	1.331333s
3	20000000	204800	0.091029s	0.285000s	0.924971s	0.011701s	1.312701s
4	20000000	204800	0.082309s	0.288998s	0.932416s	0.011640s	1.315363s
0	20000000	409600	0.083886s	0.296208s	0.975370s	0.010729s	1.366193s
1	20000000	409600	0.083109s	0.285316s	0.981749s	0.011450s	1.361625s
2	20000000	409600	0.082092s	0.295256s	0.972812s	0.011104s	1.361264s
3	20000000	409600	0.082362s	0.306884s	0.971023s	0.010862s	1.371131s
4	20000000	409600	0.083340s	0.311593s	0.972982s	0.012413s	1.380328s
0	20000000	819600	0.083525s	0.291293s	1.021273s	0.011328s	1.407418s
1	20000000	819600	0.081115s	0.292555s	1.019647s	0.011623s	1.404941s
2	20000000	819600	0.081313s	0.289728s	1.020234s	0.011226s	1.402502s
3	20000000	819600	0.084589s	0.295126s	1.023746s	0.010730s	1.414192s
4	20000000	819600	0.081153s	0.291229s	1.012199s	0.010732s	1.395314s
