iters	scheduling	tab_size	time
0		2	0m0.002s
1		2	0m0.003s
2		2	0m0.005s
3		2	0m0.004s
4		2	0m0.003s
5		2	0m0.006s
6		2	0m0.006s
7		2	0m0.002s
8		2	0m0.002s
9		2	0m0.003s
0		20	0m0.004s
1		20	0m0.005s
2		20	0m0.004s
3		20	0m0.004s
4		20	0m0.008s
5		20	0m0.002s
6		20	0m0.002s
7		20	0m0.003s
8		20	0m0.005s
9		20	0m0.008s
0		200	0m0.002s
1		200	0m0.002s
2		200	0m0.005s
3		200	0m0.005s
4		200	0m0.005s
5		200	0m0.002s
6		200	0m0.009s
7		200	0m0.004s
8		200	0m0.003s
9		200	0m0.010s
0		2000	0m0.007s
1		2000	0m0.003s
2		2000	0m0.004s
3		2000	0m0.003s
4		2000	0m0.002s
5		2000	0m0.003s
6		2000	0m0.006s
7		2000	0m0.003s
8		2000	0m0.004s
9		2000	0m0.002s
0		20000	0m0.003s
1		20000	0m0.005s
2		20000	0m0.005s
3		20000	0m0.004s
4		20000	0m0.004s
5		20000	0m0.003s
6		20000	0m0.004s
7		20000	0m0.004s
8		20000	0m0.003s
9		20000	0m0.017s
0		200000	0m0.007s
1		200000	0m0.007s
2		200000	0m0.007s
3		200000	0m0.005s
4		200000	0m0.005s
5		200000	0m0.007s
6		200000	0m0.006s
7		200000	0m0.008s
8		200000	0m0.005s
9		200000	0m0.007s
0		2000000	0m0.034s
1		2000000	0m0.034s
2		2000000	0m0.035s
3		2000000	0m0.037s
4		2000000	0m0.041s
5		2000000	0m0.041s
6		2000000	0m0.037s
7		2000000	0m0.033s
8		2000000	0m0.036s
9		2000000	0m0.034s
0		20000000	0m0.313s
1		20000000	0m0.309s
2		20000000	0m0.308s
3		20000000	0m0.309s
4		20000000	0m0.315s
5		20000000	0m0.310s
6		20000000	0m0.310s
7		20000000	0m0.303s
8		20000000	0m0.309s
9		20000000	0m0.305s
0		200000000	0m3.043s
1		200000000	0m2.992s
2		200000000	0m3.037s
3		200000000	0m3.040s
4		200000000	0m3.037s
5		200000000	0m3.045s
6		200000000	0m2.994s
7		200000000	0m3.026s
8		200000000	0m2.998s
9		200000000	0m2.992s
