iters	scheduling	tab_size	time
0	dynamic	2	0m0.019s
1	dynamic	2	0m0.021s
2	dynamic	2	0m0.014s
3	dynamic	2	0m0.015s
4	dynamic	2	0m0.026s
5	dynamic	2	0m0.015s
6	dynamic	2	0m0.028s
7	dynamic	2	0m0.023s
8	dynamic	2	0m0.020s
9	dynamic	2	0m0.016s
0	dynamic	20	0m0.011s
1	dynamic	20	0m0.013s
2	dynamic	20	0m0.010s
3	dynamic	20	0m0.012s
4	dynamic	20	0m0.011s
5	dynamic	20	0m0.009s
6	dynamic	20	0m0.013s
7	dynamic	20	0m0.011s
8	dynamic	20	0m0.012s
9	dynamic	20	0m0.012s
0	dynamic	200	0m0.012s
1	dynamic	200	0m0.008s
2	dynamic	200	0m0.005s
3	dynamic	200	0m0.010s
4	dynamic	200	0m0.010s
5	dynamic	200	0m0.019s
6	dynamic	200	0m0.022s
7	dynamic	200	0m0.026s
8	dynamic	200	0m0.011s
9	dynamic	200	0m0.016s
0	dynamic	2000	0m0.011s
1	dynamic	2000	0m0.023s
2	dynamic	2000	0m0.018s
3	dynamic	2000	0m0.011s
4	dynamic	2000	0m0.021s
5	dynamic	2000	0m0.022s
6	dynamic	2000	0m0.010s
7	dynamic	2000	0m0.025s
8	dynamic	2000	0m0.022s
9	dynamic	2000	0m0.017s
0	dynamic	20000	0m0.014s
1	dynamic	20000	0m0.026s
2	dynamic	20000	0m0.022s
3	dynamic	20000	0m0.027s
4	dynamic	20000	0m0.021s
5	dynamic	20000	0m0.011s
6	dynamic	20000	0m0.021s
7	dynamic	20000	0m0.019s
8	dynamic	20000	0m0.015s
9	dynamic	20000	0m0.017s
0	dynamic	200000	0m0.019s
1	dynamic	200000	0m0.034s
2	dynamic	200000	0m0.027s
3	dynamic	200000	0m0.028s
4	dynamic	200000	0m0.023s
5	dynamic	200000	0m0.020s
6	dynamic	200000	0m0.031s
7	dynamic	200000	0m0.030s
8	dynamic	200000	0m0.021s
9	dynamic	200000	0m0.034s
0	dynamic	2000000	0m0.130s
1	dynamic	2000000	0m0.071s
2	dynamic	2000000	0m0.131s
