iters	threads	scheduling	tab_size	time
0	1	static	2	0m0.008s
1	1	static	2	0m0.002s
2	1	static	2	0m0.002s
3	1	static	2	0m0.002s
4	1	static	2	0m0.002s
5	1	static	2	0m0.002s
6	1	static	2	0m0.002s
7	1	static	2	0m0.002s
8	1	static	2	0m0.002s
9	1	static	2	0m0.002s
0	1	static	20	0m0.002s
1	1	static	20	0m0.004s
2	1	static	20	0m0.003s
3	1	static	20	0m0.004s
4	1	static	20	0m0.004s
5	1	static	20	0m0.004s
6	1	static	20	0m0.004s
7	1	static	20	0m0.003s
8	1	static	20	0m0.003s
9	1	static	20	0m0.003s
0	1	static	200	0m0.003s
1	1	static	200	0m0.004s
2	1	static	200	0m0.003s
3	1	static	200	0m0.111s
4	1	static	200	0m0.002s
5	1	static	200	0m0.002s
6	1	static	200	0m0.002s
7	1	static	200	0m0.002s
8	1	static	200	0m0.003s
9	1	static	200	0m0.002s
0	1	static	2000	0m0.002s
1	1	static	2000	0m0.006s
2	1	static	2000	0m0.003s
3	1	static	2000	0m0.003s
4	1	static	2000	0m0.003s
5	1	static	2000	0m0.003s
6	1	static	2000	0m0.002s
7	1	static	2000	0m0.002s
8	1	static	2000	0m0.002s
9	1	static	2000	0m0.003s
0	1	static	20000	0m0.005s
1	1	static	20000	0m0.002s
2	1	static	20000	0m0.003s
3	1	static	20000	0m0.003s
4	1	static	20000	0m0.002s
5	1	static	20000	0m0.002s
6	1	static	20000	0m0.003s
7	1	static	20000	0m0.003s
8	1	static	20000	0m0.002s
9	1	static	20000	0m0.002s
0	1	static	200000	0m0.004s
1	1	static	200000	0m0.009s
2	1	static	200000	0m0.006s
3	1	static	200000	0m0.006s
4	1	static	200000	0m0.005s
5	1	static	200000	0m0.005s
6	1	static	200000	0m0.005s
7	1	static	200000	0m0.005s
8	1	static	200000	0m0.005s
9	1	static	200000	0m0.004s
0	1	static	2000000	0m0.025s
1	1	static	2000000	0m0.023s
2	1	static	2000000	0m0.024s
3	1	static	2000000	0m0.023s
4	1	static	2000000	0m0.026s
5	1	static	2000000	0m0.029s
6	1	static	2000000	0m0.036s
7	1	static	2000000	0m0.025s
8	1	static	2000000	0m0.029s
9	1	static	2000000	0m0.028s
0	1	static	20000000	0m0.221s
1	1	static	20000000	0m0.203s
2	1	static	20000000	0m0.209s
3	1	static	20000000	0m0.222s
4	1	static	20000000	0m0.229s
5	1	static	20000000	0m0.240s
6	1	static	20000000	0m0.213s
7	1	static	20000000	0m0.221s
8	1	static	20000000	0m0.251s
9	1	static	20000000	0m0.293s
0	1	static	200000000	0m2.641s
1	1	static	200000000	0m2.107s
2	1	static	200000000	0m1.996s
3	1	static	200000000	0m1.919s
4	1	static	200000000	0m2.078s
5	1	static	200000000	0m1.964s
6	1	static	200000000	0m1.928s
7	1	static	200000000	0m1.977s
8	1	static	200000000	0m1.993s
9	1	static	200000000	0m2.085s
0	4	static	2	0m0.002s
1	4	static	2	0m0.003s
2	4	static	2	0m0.003s
3	4	static	2	0m0.002s
4	4	static	2	0m0.003s
5	4	static	2	0m0.002s
6	4	static	2	0m0.003s
7	4	static	2	0m0.003s
8	4	static	2	0m0.003s
9	4	static	2	0m0.002s
0	4	static	20	0m0.003s
1	4	static	20	0m0.003s
2	4	static	20	0m0.002s
3	4	static	20	0m0.002s
4	4	static	20	0m0.003s
5	4	static	20	0m0.003s
6	4	static	20	0m0.003s
7	4	static	20	0m0.002s
8	4	static	20	0m0.002s
9	4	static	20	0m0.002s
0	4	static	200	0m0.004s
1	4	static	200	0m0.003s
2	4	static	200	0m0.003s
3	4	static	200	0m0.003s
4	4	static	200	0m0.003s
5	4	static	200	0m0.003s
6	4	static	200	0m0.003s
7	4	static	200	0m0.003s
8	4	static	200	0m0.112s
9	4	static	200	0m0.002s
0	4	static	2000	0m0.004s
1	4	static	2000	0m0.002s
2	4	static	2000	0m0.002s
3	4	static	2000	0m0.002s
4	4	static	2000	0m0.003s
5	4	static	2000	0m0.003s
6	4	static	2000	0m0.003s
7	4	static	2000	0m0.002s
8	4	static	2000	0m0.002s
9	4	static	2000	0m0.003s
0	4	static	20000	0m0.003s
1	4	static	20000	0m0.007s
2	4	static	20000	0m0.004s
3	4	static	20000	0m0.004s
4	4	static	20000	0m0.003s
5	4	static	20000	0m0.003s
6	4	static	20000	0m0.004s
7	4	static	20000	0m0.003s
8	4	static	20000	0m0.003s
9	4	static	20000	0m0.004s
0	4	static	200000	0m0.005s
1	4	static	200000	0m0.005s
2	4	static	200000	0m0.006s
3	4	static	200000	0m0.004s
4	4	static	200000	0m0.004s
5	4	static	200000	0m0.006s
6	4	static	200000	0m0.004s
7	4	static	200000	0m0.004s
8	4	static	200000	0m0.005s
9	4	static	200000	0m0.004s
0	4	static	2000000	0m0.012s
1	4	static	2000000	0m0.010s
2	4	static	2000000	0m0.011s
3	4	static	2000000	0m0.012s
4	4	static	2000000	0m0.013s
5	4	static	2000000	0m0.011s
6	4	static	2000000	0m0.015s
7	4	static	2000000	0m0.016s
8	4	static	2000000	0m0.015s
9	4	static	2000000	0m0.012s
0	4	static	20000000	0m0.112s
1	4	static	20000000	0m0.118s
2	4	static	20000000	0m0.093s
3	4	static	20000000	0m0.100s
4	4	static	20000000	0m0.084s
5	4	static	20000000	0m0.087s
6	4	static	20000000	0m0.096s
7	4	static	20000000	0m0.098s
8	4	static	20000000	0m0.150s
9	4	static	20000000	0m0.102s
0	4	static	200000000	0m1.029s
1	4	static	200000000	0m0.815s
2	4	static	200000000	0m0.673s
3	4	static	200000000	0m0.804s
4	4	static	200000000	0m0.734s
5	4	static	200000000	0m0.772s
6	4	static	200000000	0m0.756s
7	4	static	200000000	0m0.708s
8	4	static	200000000	0m0.721s
9	4	static	200000000	0m0.716s
0	6	static	2	0m0.003s
1	6	static	2	0m0.003s
2	6	static	2	0m0.004s
3	6	static	2	0m0.003s
4	6	static	2	0m0.003s
5	6	static	2	0m0.003s
6	6	static	2	0m0.003s
7	6	static	2	0m0.004s
8	6	static	2	0m0.003s
9	6	static	2	0m0.003s
0	6	static	20	0m0.003s
1	6	static	20	0m0.003s
2	6	static	20	0m0.003s
3	6	static	20	0m0.004s
4	6	static	20	0m0.004s
5	6	static	20	0m0.003s
6	6	static	20	0m0.003s
7	6	static	20	0m0.003s
8	6	static	20	0m0.003s
9	6	static	20	0m0.004s
0	6	static	200	0m0.003s
1	6	static	200	0m0.003s
2	6	static	200	0m0.003s
3	6	static	200	0m0.004s
4	6	static	200	0m0.143s
5	6	static	200	0m0.005s
6	6	static	200	0m0.004s
7	6	static	200	0m0.003s
8	6	static	200	0m0.004s
9	6	static	200	0m0.004s
0	6	static	2000	0m0.004s
1	6	static	2000	0m0.003s
2	6	static	2000	0m0.004s
3	6	static	2000	0m0.003s
4	6	static	2000	0m0.003s
5	6	static	2000	0m0.005s
6	6	static	2000	0m0.004s
7	6	static	2000	0m0.003s
8	6	static	2000	0m0.003s
9	6	static	2000	0m0.004s
0	6	static	20000	0m0.004s
1	6	static	20000	0m0.004s
2	6	static	20000	0m0.005s
3	6	static	20000	0m0.004s
4	6	static	20000	0m0.004s
5	6	static	20000	0m0.005s
6	6	static	20000	0m0.004s
7	6	static	20000	0m0.004s
8	6	static	20000	0m0.005s
9	6	static	20000	0m0.004s
0	6	static	200000	0m0.006s
1	6	static	200000	0m0.006s
2	6	static	200000	0m0.005s
3	6	static	200000	0m0.005s
4	6	static	200000	0m0.004s
5	6	static	200000	0m0.005s
6	6	static	200000	0m0.013s
7	6	static	200000	0m0.007s
8	6	static	200000	0m0.005s
9	6	static	200000	0m0.005s
0	6	static	2000000	0m0.012s
1	6	static	2000000	0m0.012s
2	6	static	2000000	0m0.013s
3	6	static	2000000	0m0.014s
4	6	static	2000000	0m0.015s
5	6	static	2000000	0m0.015s
6	6	static	2000000	0m0.014s
7	6	static	2000000	0m0.014s
8	6	static	2000000	0m0.015s
9	6	static	2000000	0m0.014s
0	6	static	20000000	0m0.098s
1	6	static	20000000	0m0.081s
2	6	static	20000000	0m0.070s
3	6	static	20000000	0m0.075s
4	6	static	20000000	0m0.079s
5	6	static	20000000	0m0.078s
6	6	static	20000000	0m0.076s
7	6	static	20000000	0m0.074s
8	6	static	20000000	0m0.078s
9	6	static	20000000	0m0.075s
0	6	static	200000000	0m0.850s
1	6	static	200000000	0m0.698s
2	6	static	200000000	0m0.599s
3	6	static	200000000	0m0.584s
4	6	static	200000000	0m0.563s
5	6	static	200000000	0m0.583s
6	6	static	200000000	0m0.588s
7	6	static	200000000	0m0.580s
8	6	static	200000000	0m0.616s
9	6	static	200000000	0m0.587s
0	8	static	2	0m0.003s
1	8	static	2	0m0.003s
2	8	static	2	0m0.003s
3	8	static	2	0m0.003s
4	8	static	2	0m0.003s
5	8	static	2	0m0.003s
6	8	static	2	0m0.003s
7	8	static	2	0m0.003s
8	8	static	2	0m0.003s
9	8	static	2	0m0.003s
0	8	static	20	0m0.003s
1	8	static	20	0m0.003s
2	8	static	20	0m0.003s
3	8	static	20	0m0.004s
4	8	static	20	0m0.003s
5	8	static	20	0m0.004s
6	8	static	20	0m0.003s
7	8	static	20	0m0.003s
8	8	static	20	0m0.003s
9	8	static	20	0m0.004s
0	8	static	200	0m0.003s
1	8	static	200	0m0.003s
2	8	static	200	0m0.003s
3	8	static	200	0m0.117s
4	8	static	200	0m0.006s
5	8	static	200	0m0.005s
6	8	static	200	0m0.009s
7	8	static	200	0m0.006s
8	8	static	200	0m0.007s
9	8	static	200	0m0.005s
0	8	static	2000	0m0.006s
1	8	static	2000	0m0.004s
2	8	static	2000	0m0.005s
3	8	static	2000	0m0.004s
4	8	static	2000	0m0.003s
5	8	static	2000	0m0.004s
6	8	static	2000	0m0.004s
7	8	static	2000	0m0.003s
8	8	static	2000	0m0.003s
9	8	static	2000	0m0.004s
0	8	static	20000	0m0.003s
1	8	static	20000	0m0.004s
2	8	static	20000	0m0.005s
3	8	static	20000	0m0.003s
4	8	static	20000	0m0.003s
5	8	static	20000	0m0.004s
6	8	static	20000	0m0.004s
7	8	static	20000	0m0.003s
8	8	static	20000	0m0.003s
9	8	static	20000	0m0.005s
0	8	static	200000	0m0.005s
1	8	static	200000	0m0.004s
2	8	static	200000	0m0.005s
3	8	static	200000	0m0.004s
4	8	static	200000	0m0.005s
5	8	static	200000	0m0.005s
6	8	static	200000	0m0.004s
7	8	static	200000	0m0.004s
8	8	static	200000	0m0.006s
9	8	static	200000	0m0.004s
0	8	static	2000000	0m0.010s
1	8	static	2000000	0m0.009s
2	8	static	2000000	0m0.011s
3	8	static	2000000	0m0.013s
4	8	static	2000000	0m0.013s
5	8	static	2000000	0m0.015s
6	8	static	2000000	0m0.013s
7	8	static	2000000	0m0.014s
8	8	static	2000000	0m0.011s
9	8	static	2000000	0m0.011s
0	8	static	20000000	0m0.102s
1	8	static	20000000	0m0.074s
2	8	static	20000000	0m0.065s
3	8	static	20000000	0m0.067s
4	8	static	20000000	0m0.065s
5	8	static	20000000	0m0.072s
6	8	static	20000000	0m0.063s
7	8	static	20000000	0m0.071s
8	8	static	20000000	0m0.090s
9	8	static	20000000	0m0.066s
0	8	static	200000000	0m0.761s
1	8	static	200000000	0m0.592s
2	8	static	200000000	0m0.607s
3	8	static	200000000	0m0.580s
4	8	static	200000000	0m0.511s
5	8	static	200000000	0m0.487s
6	8	static	200000000	0m0.538s
7	8	static	200000000	0m0.506s
8	8	static	200000000	0m0.518s
9	8	static	200000000	0m0.546s
0	12	static	2	0m0.005s
1	12	static	2	0m0.004s
2	12	static	2	0m0.004s
3	12	static	2	0m0.004s
4	12	static	2	0m0.006s
5	12	static	2	0m0.004s
6	12	static	2	0m0.004s
7	12	static	2	0m0.004s
8	12	static	2	0m0.003s
9	12	static	2	0m0.003s
0	12	static	20	0m0.006s
1	12	static	20	0m0.004s
2	12	static	20	0m0.005s
3	12	static	20	0m0.004s
4	12	static	20	0m0.012s
5	12	static	20	0m0.004s
6	12	static	20	0m0.005s
7	12	static	20	0m0.104s
8	12	static	20	0m0.004s
9	12	static	20	0m0.003s
0	12	static	200	0m0.005s
1	12	static	200	0m0.013s
2	12	static	200	0m0.012s
3	12	static	200	0m0.014s
4	12	static	200	0m0.006s
5	12	static	200	0m0.004s
6	12	static	200	0m0.004s
7	12	static	200	0m0.004s
8	12	static	200	0m0.004s
9	12	static	200	0m0.004s
0	12	static	2000	0m0.005s
1	12	static	2000	0m0.004s
2	12	static	2000	0m0.009s
3	12	static	2000	0m0.004s
4	12	static	2000	0m0.005s
5	12	static	2000	0m0.005s
6	12	static	2000	0m0.012s
7	12	static	2000	0m0.004s
8	12	static	2000	0m0.005s
9	12	static	2000	0m0.004s
0	12	static	20000	0m0.005s
1	12	static	20000	0m0.004s
2	12	static	20000	0m0.012s
3	12	static	20000	0m0.005s
4	12	static	20000	0m0.004s
5	12	static	20000	0m0.004s
6	12	static	20000	0m0.004s
7	12	static	20000	0m0.004s
8	12	static	20000	0m0.003s
9	12	static	20000	0m0.004s
0	12	static	200000	0m0.005s
1	12	static	200000	0m0.005s
2	12	static	200000	0m0.004s
3	12	static	200000	0m0.004s
4	12	static	200000	0m0.013s
5	12	static	200000	0m0.005s
6	12	static	200000	0m0.005s
7	12	static	200000	0m0.005s
8	12	static	200000	0m0.026s
9	12	static	200000	0m0.019s
0	12	static	2000000	0m0.027s
1	12	static	2000000	0m0.010s
2	12	static	2000000	0m0.023s
3	12	static	2000000	0m0.009s
4	12	static	2000000	0m0.010s
5	12	static	2000000	0m0.022s
6	12	static	2000000	0m0.020s
7	12	static	2000000	0m0.012s
8	12	static	2000000	0m0.020s
9	12	static	2000000	0m0.016s
0	12	static	20000000	0m0.115s
1	12	static	20000000	0m0.078s
2	12	static	20000000	0m0.075s
3	12	static	20000000	0m0.089s
4	12	static	20000000	0m0.070s
5	12	static	20000000	0m0.073s
6	12	static	20000000	0m0.112s
7	12	static	20000000	0m0.086s
8	12	static	20000000	0m0.108s
9	12	static	20000000	0m0.082s
0	12	static	200000000	0m0.902s
1	12	static	200000000	0m0.670s
2	12	static	200000000	0m0.756s
3	12	static	200000000	0m0.699s
4	12	static	200000000	0m0.442s
5	12	static	200000000	0m0.532s
6	12	static	200000000	0m0.684s
7	12	static	200000000	0m0.688s
8	12	static	200000000	0m0.796s
9	12	static	200000000	0m0.713s
0	24	static	2	0m0.043s
1	24	static	2	0m0.047s
2	24	static	2	0m0.212s
3	24	static	2	0m0.091s
4	24	static	2	0m0.033s
5	24	static	2	0m0.044s
6	24	static	2	0m0.030s
7	24	static	2	0m0.042s
8	24	static	2	0m0.033s
9	24	static	2	0m0.036s
0	24	static	20	0m0.031s
1	24	static	20	0m0.025s
2	24	static	20	0m0.023s
3	24	static	20	0m0.031s
4	24	static	20	0m0.057s
5	24	static	20	0m0.031s
6	24	static	20	0m0.027s
7	24	static	20	0m0.035s
8	24	static	20	0m0.044s
9	24	static	20	0m0.047s
0	24	static	200	0m0.040s
1	24	static	200	0m0.056s
2	24	static	200	0m0.032s
3	24	static	200	0m0.039s
4	24	static	200	0m0.039s
5	24	static	200	0m0.032s
6	24	static	200	0m0.032s
7	24	static	200	0m0.032s
8	24	static	200	0m0.029s
9	24	static	200	0m0.031s
0	24	static	2000	0m0.050s
1	24	static	2000	0m0.034s
2	24	static	2000	0m0.044s
3	24	static	2000	0m0.040s
4	24	static	2000	0m0.038s
5	24	static	2000	0m0.035s
6	24	static	2000	0m0.035s
7	24	static	2000	0m0.034s
8	24	static	2000	0m0.095s
9	24	static	2000	0m0.069s
0	24	static	20000	0m0.047s
1	24	static	20000	0m0.038s
2	24	static	20000	0m0.037s
3	24	static	20000	0m0.053s
4	24	static	20000	0m0.041s
5	24	static	20000	0m0.039s
6	24	static	20000	0m0.031s
7	24	static	20000	0m0.034s
8	24	static	20000	0m0.023s
9	24	static	20000	0m0.036s
0	24	static	200000	0m0.071s
1	24	static	200000	0m0.039s
2	24	static	200000	0m0.037s
3	24	static	200000	0m0.039s
4	24	static	200000	0m0.039s
5	24	static	200000	0m0.051s
6	24	static	200000	0m0.034s
7	24	static	200000	0m0.027s
8	24	static	200000	0m0.039s
9	24	static	200000	0m0.039s
0	24	static	2000000	0m0.040s
1	24	static	2000000	0m0.042s
2	24	static	2000000	0m0.076s
3	24	static	2000000	0m0.040s
4	24	static	2000000	0m0.063s
5	24	static	2000000	0m0.090s
6	24	static	2000000	0m0.062s
7	24	static	2000000	0m0.054s
8	24	static	2000000	0m0.040s
9	24	static	2000000	0m0.060s
0	24	static	20000000	0m0.150s
1	24	static	20000000	0m0.147s
2	24	static	20000000	0m0.151s
3	24	static	20000000	0m0.127s
4	24	static	20000000	0m0.114s
5	24	static	20000000	0m0.205s
6	24	static	20000000	0m0.139s
7	24	static	20000000	0m0.120s
8	24	static	20000000	0m0.149s
9	24	static	20000000	0m0.150s
0	24	static	200000000	0m0.997s
1	24	static	200000000	0m0.795s
2	24	static	200000000	0m0.600s
3	24	static	200000000	0m0.725s
4	24	static	200000000	0m0.637s
