iters	threads	scheduling	tab_size	time
0	1		2	0m0.001s
1	1		2	0m0.001s
2	1		2	0m0.001s
3	1		2	0m0.001s
4	1		2	0m0.001s
5	1		2	0m0.001s
6	1		2	0m0.001s
7	1		2	0m0.001s
8	1		2	0m0.001s
9	1		2	0m0.001s
0	1		20	0m0.001s
1	1		20	0m0.001s
2	1		20	0m0.001s
3	1		20	0m0.001s
4	1		20	0m0.001s
5	1		20	0m0.001s
6	1		20	0m0.001s
7	1		20	0m0.001s
8	1		20	0m0.001s
9	1		20	0m0.001s
0	1		200	0m0.001s
1	1		200	0m0.001s
2	1		200	0m0.001s
3	1		200	0m0.001s
4	1		200	0m0.001s
5	1		200	0m0.001s
6	1		200	0m0.001s
7	1		200	0m0.001s
8	1		200	0m0.001s
9	1		200	0m0.001s
0	1		2000	0m0.001s
1	1		2000	0m0.002s
2	1		2000	0m0.002s
3	1		2000	0m0.003s
4	1		2000	0m0.002s
5	1		2000	0m0.002s
6	1		2000	0m0.002s
7	1		2000	0m0.001s
8	1		2000	0m0.001s
9	1		2000	0m0.002s
0	1		20000	0m0.002s
1	1		20000	0m0.002s
2	1		20000	0m0.002s
3	1		20000	0m0.002s
4	1		20000	0m0.001s
5	1		20000	0m0.001s
6	1		20000	0m0.001s
7	1		20000	0m0.001s
8	1		20000	0m0.001s
9	1		20000	0m0.002s
0	1		200000	0m0.003s
1	1		200000	0m0.003s
2	1		200000	0m0.003s
3	1		200000	0m0.003s
4	1		200000	0m0.003s
5	1		200000	0m0.003s
6	1		200000	0m0.003s
7	1		200000	0m0.004s
8	1		200000	0m0.003s
9	1		200000	0m0.003s
0	1		2000000	0m0.018s
1	1		2000000	0m0.019s
2	1		2000000	0m0.020s
3	1		2000000	0m0.019s
4	1		2000000	0m0.019s
5	1		2000000	0m0.020s
6	1		2000000	0m0.019s
7	1		2000000	0m0.019s
8	1		2000000	0m0.019s
9	1		2000000	0m0.020s
0	1		20000000	0m0.173s
1	1		20000000	0m0.172s
2	1		20000000	0m0.185s
3	1		20000000	0m0.171s
4	1		20000000	0m0.171s
5	1		20000000	0m0.173s
6	1		20000000	0m0.171s
7	1		20000000	0m0.171s
8	1		20000000	0m0.191s
9	1		20000000	0m0.171s
0	1		200000000	0m1.824s
1	1		200000000	0m1.702s
2	1		200000000	0m1.712s
3	1		200000000	0m1.777s
4	1		200000000	0m1.745s
5	1		200000000	0m1.736s
6	1		200000000	0m1.733s
7	1		200000000	0m1.740s
8	1		200000000	0m1.807s
9	1		200000000	0m1.760s
