iters	problem_size	bucket_range	threads	time_a	time_b	time_c	time_d	time_e
0	50000000	20480	1	0.250011s	0.776921s	2.125877s	0.048238s	3.201047s
1	50000000	20480	1	0.228945s	0.808557s	2.092407s	0.061306s	3.191215s
2	50000000	20480	1	0.255081s	0.719904s	2.338845s	0.050938s	3.364769s
3	50000000	20480	1	0.331149s	1.010020s	2.508005s	0.062037s	3.911210s
4	50000000	20480	1	0.224791s	0.810487s	2.246126s	0.047246s	3.328650s
0	50000000	20480	2	0.166368s	0.745260s	1.111392s	0.047542s	2.070562s
1	50000000	20480	2	0.164369s	0.679474s	1.328389s	0.078304s	2.250535s
2	50000000	20480	2	0.163687s	0.526827s	1.136865s	0.043000s	1.870378s
3	50000000	20480	2	0.159175s	0.488585s	1.135149s	0.040074s	1.822982s
4	50000000	20480	2	0.179458s	0.715857s	1.151931s	0.039213s	2.086459s
0	50000000	20480	3	0.145356s	0.666228s	0.792406s	0.046017s	1.650007s
1	50000000	20480	3	0.132737s	0.809148s	1.074027s	0.046477s	2.062389s
2	50000000	20480	3	0.131166s	1.114375s	1.200849s	0.053253s	2.499643s
3	50000000	20480	3	0.125365s	0.498905s	0.981703s	0.048884s	1.654858s
4	50000000	20480	3	0.161751s	1.115098s	1.384440s	0.054039s	2.715328s
0	50000000	20480	4	0.084301s	0.795192s	0.756984s	0.056241s	1.692718s
1	50000000	20480	4	0.114477s	0.567560s	1.002919s	0.068657s	1.753613s
2	50000000	20480	4	0.171398s	0.946948s	0.766034s	0.057969s	1.942348s
3	50000000	20480	4	0.101844s	0.646813s	0.804985s	0.063419s	1.617062s
4	50000000	20480	4	0.108127s	0.755274s	0.834602s	0.050479s	1.748483s
0	50000000	20480	5	0.121900s	1.194058s	0.906064s	0.046092s	2.268115s
1	50000000	20480	5	0.123875s	1.061165s	1.244847s	0.068012s	2.497899s
2	50000000	20480	5	0.140374s	1.391410s	1.235629s	0.048519s	2.815932s
3	50000000	20480	5	0.127690s	1.183616s	0.965485s	0.062532s	2.339323s
4	50000000	20480	5	0.130549s	0.902244s	0.754716s	0.044924s	1.832433s
0	50000000	20480	6	0.112120s	1.303225s	1.228551s	0.049688s	2.693584s
1	50000000	20480	6	0.089223s	1.096246s	0.855585s	0.043691s	2.084745s
2	50000000	20480	6	0.084436s	0.912829s	0.717108s	0.040401s	1.754774s
3	50000000	20480	6	0.090969s	0.997750s	0.641758s	0.037126s	1.767602s
4	50000000	20480	6	0.113890s	1.172748s	0.759062s	0.063430s	2.109130s
0	50000000	20480	7	0.091730s	1.032277s	0.620732s	0.041045s	1.785783s
1	50000000	20480	7	0.161228s	1.183999s	0.763945s	0.064873s	2.174045s
2	50000000	20480	7	0.110613s	1.114279s	0.793687s	0.046476s	2.065055s
3	50000000	20480	7	0.083556s	1.126706s	0.729721s	0.044003s	1.983987s
4	50000000	20480	7	0.088269s	1.080673s	0.750887s	0.047068s	1.966898s
0	50000000	20480	8	0.094035s	1.145829s	0.661568s	0.044217s	1.945649s
1	50000000	20480	8	0.102912s	1.233113s	0.708826s	0.047827s	2.092678s
2	50000000	20480	8	0.108740s	1.252830s	0.760548s	0.047127s	2.169244s
3	50000000	20480	8	0.086008s	1.293155s	1.007607s	0.052791s	2.439561s
4	50000000	20480	8	0.134015s	1.281536s	0.633047s	0.057015s	2.105614s
