iters	problem_size	bucket_range	threads	time_a	time_b	time_c	time_d	time_e
0	50000000	524288	1	0.250153s	0.718971s	2.926939s	0.054298s	3.950361s
1	50000000	524288	1	0.272250s	0.769831s	3.028791s	0.043290s	4.114162s
2	50000000	524288	1	0.332170s	0.629396s	3.056157s	0.069735s	4.087459s
3	50000000	524288	1	0.318347s	0.631124s	3.028626s	0.061832s	4.039928s
4	50000000	524288	1	0.295874s	0.728664s	3.017976s	0.036966s	4.079481s
0	50000000	524288	2	0.143343s	0.732672s	1.688670s	0.038360s	2.603045s
1	50000000	524288	2	0.187090s	0.677113s	1.723924s	0.043634s	2.631761s
2	50000000	524288	2	0.167472s	0.666927s	1.735898s	0.055703s	2.626001s
3	50000000	524288	2	0.190431s	0.720473s	1.659238s	0.045011s	2.615154s
4	50000000	524288	2	0.148277s	0.647309s	1.686729s	0.054425s	2.536740s
0	50000000	524288	3	0.125690s	0.728193s	1.650727s	0.053188s	2.557798s
1	50000000	524288	3	0.184776s	0.765160s	1.320870s	0.042019s	2.312825s
2	50000000	524288	3	0.116802s	0.622968s	1.175857s	0.042627s	1.958254s
3	50000000	524288	3	0.158444s	0.680160s	1.240869s	0.039602s	2.119075s
4	50000000	524288	3	0.168207s	0.671090s	1.260540s	0.037375s	2.137212s
0	50000000	524288	4	0.191508s	0.765954s	1.581273s	0.039399s	2.578134s
1	50000000	524288	4	0.116705s	0.613492s	1.204278s	0.036390s	1.970866s
2	50000000	524288	4	0.149276s	0.763239s	1.297790s	0.040406s	2.250710s
3	50000000	524288	4	0.122460s	0.608886s	1.232123s	0.045563s	2.009033s
4	50000000	524288	4	0.165901s	0.688869s	1.156136s	0.044185s	2.055091s
0	50000000	524288	5	0.111401s	0.746452s	1.291038s	0.043978s	2.192868s
1	50000000	524288	5	0.195149s	0.845248s	1.206855s	0.036972s	2.284224s
2	50000000	524288	5	0.110227s	0.765892s	1.233106s	0.035281s	2.144506s
3	50000000	524288	5	0.111815s	0.644703s	1.293385s	0.041754s	2.091657s
4	50000000	524288	5	0.153811s	0.878647s	1.478549s	0.044905s	2.555912s
0	50000000	524288	6	0.119596s	0.903093s	1.239720s	0.043330s	2.305739s
1	50000000	524288	6	0.105119s	0.819005s	1.212437s	0.036204s	2.172766s
2	50000000	524288	6	0.141849s	0.722537s	1.257503s	0.037066s	2.158954s
3	50000000	524288	6	0.140558s	0.893549s	1.265414s	0.038321s	2.337842s
4	50000000	524288	6	0.124462s	0.824583s	1.233960s	0.040028s	2.223033s
0	50000000	524288	7	0.107708s	0.798040s	1.392021s	0.049288s	2.347057s
1	50000000	524288	7	0.214541s	0.787847s	1.119793s	0.052631s	2.174811s
2	50000000	524288	7	0.111249s	0.959538s	1.101705s	0.043464s	2.215956s
3	50000000	524288	7	0.129302s	0.909367s	1.076197s	0.037334s	2.152199s
4	50000000	524288	7	0.157412s	1.092636s	1.358632s	0.040394s	2.649075s
0	50000000	524288	8	0.125646s	1.039467s	1.115209s	0.031621s	2.311942s
1	50000000	524288	8	0.127908s	0.965292s	1.143826s	0.040475s	2.277501s
2	50000000	524288	8	0.178829s	1.227677s	1.150933s	0.037515s	2.594953s
3	50000000	524288	8	0.102574s	0.893422s	1.090261s	0.039151s	2.125409s
4	50000000	524288	8	0.151174s	0.977130s	1.262406s	0.062049s	2.452759s
