iters	problem_size	bucket_range	threads	time_a	time_b	time_c	time_d	time_e
0	50000000	40960	1	0.238538s	0.841614s	2.071256s	0.032986s	3.184394s
1	50000000	40960	1	0.216958s	1.103026s	2.988504s	0.068573s	4.377061s
2	50000000	40960	1	0.279186s	0.963864s	2.062131s	0.028812s	3.333993s
3	50000000	40960	1	0.222258s	0.796267s	2.134408s	0.031316s	3.184250s
4	50000000	40960	1	0.232170s	1.058191s	2.519674s	0.069024s	3.879058s
0	100000000	40960	2	0.402118s	2.348452s	2.180055s	0.068006s	4.998631s
1	100000000	40960	2	0.234263s	2.164840s	2.149954s	0.059384s	4.608441s
2	100000000	40960	2	0.336618s	2.824759s	2.843135s	0.064829s	6.069341s
3	100000000	40960	2	0.249322s	2.754554s	2.294726s	0.058090s	5.356691s
4	100000000	40960	2	0.252725s	2.180371s	2.305766s	0.058020s	4.796882s
0	150000000	40960	3	0.280589s	2.898045s	2.463979s	0.076485s	5.719098s
1	150000000	40960	3	0.346860s	3.815313s	2.516391s	0.075879s	6.754444s
2	150000000	40960	3	0.295613s	3.284750s	2.859652s	0.078054s	6.518069s
3	150000000	40960	3	0.278428s	3.126982s	2.742020s	0.085750s	6.233181s
4	150000000	40960	3	0.386229s	3.427745s	2.544082s	0.078250s	6.436306s
0	200000000	40960	4	0.583508s	4.611247s	2.552824s	0.111079s	7.858659s
1	200000000	40960	4	0.408595s	5.193693s	2.894730s	0.146554s	8.643572s
2	200000000	40960	4	0.480641s	5.791722s	3.523832s	0.142696s	9.938891s
3	200000000	40960	4	0.522809s	5.042584s	2.923853s	0.190648s	8.679894s
4	200000000	40960	4	0.535015s	4.141490s	2.876234s	0.130110s	7.682850s
0	250000000	40960	5	0.436364s	5.072256s	4.139994s	0.134820s	9.783434s
1	250000000	40960	5	0.706872s	5.662853s	3.408724s	0.167691s	9.946140s
2	250000000	40960	5	0.664868s	5.013965s	3.444419s	0.140813s	9.264064s
3	250000000	40960	5	0.416424s	5.120952s	3.512070s	0.134279s	9.183725s
4	250000000	40960	5	0.425466s	5.341075s	3.335010s	0.127180s	9.228731s
0	300000000	40960	6	0.686329s	6.464902s	4.252562s	0.176651s	11.580443s
1	300000000	40960	6	0.805611s	6.214781s	4.544058s	0.214475s	11.778923s
2	300000000	40960	6	1.087051s	7.379911s	4.266488s	0.167673s	12.901123s
3	300000000	40960	6	0.652527s	5.859796s	4.010463s	0.163334s	10.686119s
4	300000000	40960	6	0.973078s	6.698769s	4.076135s	0.169688s	11.917669s
0	350000000	40960	7	0.646203s	6.732575s	7.257068s	0.257097s	14.892944s
1	350000000	40960	7	0.887397s	9.144380s	5.702849s	0.342294s	16.076920s
2	350000000	40960	7	1.223235s	7.664263s	4.994500s	0.340925s	14.222923s
3	350000000	40960	7	0.981218s	9.734026s	5.476378s	0.179261s	16.370883s
4	350000000	40960	7	0.904553s	6.686092s	4.520665s	0.187022s	12.298333s
0	400000000	40960	8	0.949138s	8.459242s	5.899248s	0.237262s	15.544889s
1	400000000	40960	8	1.306044s	8.375367s	5.154932s	0.229622s	15.065964s
2	400000000	40960	8	1.014795s	8.568392s	5.922134s	0.232909s	15.738230s
3	400000000	40960	8	1.115456s	8.360784s	5.301528s	0.204209s	14.981977s
4	400000000	40960	8	1.468583s	8.764710s	5.779785s	0.242820s	16.255898s
