iters	problem_size	bucket_range	threads	time_a	time_b	time_c	time_d	time_e
0	50000000	40960	1	0.342846s	1.152740s	2.578072s	0.032659s	4.106318s
1	50000000	40960	1	0.232370s	0.918688s	2.596817s	0.032109s	3.779985s
2	50000000	40960	1	0.259110s	0.910867s	2.270788s	0.030699s	3.471464s
3	50000000	40960	1	0.231256s	0.992169s	2.351926s	0.043401s	3.618752s
4	50000000	40960	1	0.303255s	0.916178s	2.225650s	0.030979s	3.476062s
0	100000000	40960	2	0.285728s	2.179399s	2.420904s	0.055327s	4.941358s
1	100000000	40960	2	0.254599s	2.215699s	2.358377s	0.056448s	4.885122s
2	100000000	40960	2	0.254958s	2.224184s	2.337181s	0.056493s	4.872816s
3	100000000	40960	2	0.242106s	2.208388s	2.340700s	0.081536s	4.872730s
4	100000000	40960	2	0.246579s	2.180105s	2.251819s	0.109163s	4.787667s
0	150000000	40960	3	0.311607s	2.949562s	2.653069s	0.086802s	6.001039s
1	150000000	40960	3	0.321573s	3.162603s	2.552242s	0.087122s	6.123541s
2	150000000	40960	3	0.395107s	3.079683s	2.523346s	0.095750s	6.093885s
3	150000000	40960	3	0.370545s	3.121926s	2.482345s	0.089493s	6.064308s
4	150000000	40960	3	0.506682s	3.422989s	2.608222s	0.135304s	6.673197s
0	200000000	40960	4	0.356874s	4.166932s	3.136962s	0.116067s	7.776834s
1	200000000	40960	4	0.512603s	4.401505s	2.969423s	0.110228s	7.993758s
2	200000000	40960	4	0.507832s	4.421589s	2.809956s	0.141292s	7.880669s
3	200000000	40960	4	0.382884s	4.636721s	3.228345s	0.140735s	8.388685s
4	200000000	40960	4	0.508432s	5.949709s	3.666843s	0.154277s	10.279261s
0	250000000	40960	5	0.610445s	4.830013s	3.667137s	0.218911s	9.326507s
1	250000000	40960	5	0.479349s	5.250806s	3.900111s	0.214904s	9.845171s
2	250000000	40960	5	0.786691s	5.543774s	3.548905s	0.147501s	10.026870s
3	250000000	40960	5	0.842944s	5.305086s	3.618537s	0.149455s	9.916022s
4	250000000	40960	5	0.679497s	5.597924s	4.448618s	0.178109s	10.904149s
0	300000000	40960	6	0.649713s	6.065497s	4.417317s	0.186456s	11.318983s
1	300000000	40960	6	1.038978s	8.295434s	4.337882s	0.204342s	13.876636s
2	300000000	40960	6	0.869777s	7.124068s	4.493493s	0.231354s	12.718692s
3	300000000	40960	6	0.841940s	6.410082s	4.303083s	0.185176s	11.740281s
4	300000000	40960	6	0.821860s	7.170843s	5.309843s	0.178995s	13.481541s
0	350000000	40960	7	0.910475s	7.164289s	5.100869s	0.212137s	13.387770s
1	350000000	40960	7	0.912502s	8.009832s	5.557061s	0.205016s	14.684411s
2	350000000	40960	7	1.195683s	7.328054s	5.108589s	0.196283s	13.828609s
3	350000000	40960	7	0.856437s	7.786086s	5.885695s	0.195605s	14.723822s
4	350000000	40960	7	0.804679s	7.971660s	5.921992s	0.317029s	15.015360s
0	400000000	40960	8	1.139733s	9.339036s	6.359730s	0.236660s	17.075160s
1	400000000	40960	8	1.345366s	11.866013s	5.845673s	0.283212s	19.340265s
2	400000000	40960	8	1.173281s	10.030913s	6.413276s	0.271291s	17.888761s
3	400000000	40960	8	1.221259s	9.299287s	6.278232s	0.288836s	17.087615s
4	400000000	40960	8	1.502407s	9.921238s	6.042067s	0.239009s	17.704722s
